Techstack,Links
"MERN (MongoDB, Express, React, Node.js)",https://yourdomain.com/mern-portfolio/index.html
"MEAN (MongoDB, Express, Angular, Node.js)",https://yourdomain.com/mean-portfolio/index.html
"LAMP (Linux, Apache, MySQL, PHP)",https://yourdomain.com/lamp-portfolio/home.php
"JAMstack (JavaScript, APIs, Markup)",https://yourdomain.com/jamstack-portfolio/index.html
"Django (Python, Django, PostgreSQL)",https://yourdomain.com/django-portfolio/home.html
"Ruby on Rails (Ruby, Rails, PostgreSQL)",https://yourdomain.com/rails-portfolio/index.html
"Flutter (Dart, Flutter, Firebase)",https://yourdomain.com/flutter-portfolio/app.html
"ASP.NET (C#, ASP.NET, SQL Server)",https://yourdomain.com/aspnet-portfolio/index.aspx
"Spring Boot (Java, Spring, MySQL)",https://yourdomain.com/springboot-portfolio/home.html
"Vue.js + Laravel (Vue.js, Laravel, MySQL)",https://yourdomain.com/vue-laravel-portfolio/index.html
"Serverless (AWS Lambda, API Gateway)",https://yourdomain.com/serverless-portfolio/api.html
"WordPress (PHP, MySQL)",https://yourdomain.com/wordpress-portfolio/index.php
"React Native (React Native, Firebase)",https://yourdomain.com/reactnative-portfolio/app.html
"Android (Java/Kotlin, Android Studio)",https://yourdomain.com/android-portfolio/app.html
"iOS (Swift, Xcode)",https://yourdomain.com/ios-portfolio/app.html
